arm,group,model,method,0,8,16
synthetic,extrapolation,Llama-3.1-8B-Instruct,feature_range,,0.50875,0.5234375
synthetic,extrapolation,Llama-3.1-8B-Instruct,label_diversity,,0.53625,0.61953125
synthetic,extrapolation,Llama-3.1-8B-Instruct,random,,0.52515625,0.51984375
synthetic,extrapolation,Llama-3.1-8B-Instruct,rule_diversity,,0.50796875,0.51765625
synthetic,extrapolation,Llama-3.1-8B-Instruct,sata_alone,,0.3590625,0.58015625
synthetic,extrapolation,Llama-3.1-8B-Instruct,sata_query_agnostic,,0.50703125,0.5225
synthetic,extrapolation,Llama-3.1-8B-Instruct,similarity,,0.414375,0.5053125
synthetic,extrapolation,Llama-3.1-8B-Instruct,zero_shot,0.5059375,,
synthetic,extrapolation,Qwen2.5-7B-Instruct,best_protocol_sata,,0.33265625,0.55609375
synthetic,extrapolation,Qwen2.5-7B-Instruct,counter_spurious,,0.638125,0.66
synthetic,extrapolation,Qwen2.5-7B-Instruct,feature_range,,0.634375,0.65984375
synthetic,extrapolation,Qwen2.5-7B-Instruct,label_diversity,,0.64953125,0.66171875
synthetic,extrapolation,Qwen2.5-7B-Instruct,random,,0.62,0.6715625
synthetic,extrapolation,Qwen2.5-7B-Instruct,rule_diversity,,0.64734375,0.66828125
synthetic,extrapolation,Qwen2.5-7B-Instruct,sata_alone,,0.47921875,0.5559375
synthetic,extrapolation,Qwen2.5-7B-Instruct,sata_query_agnostic,,0.64,0.66265625
synthetic,extrapolation,Qwen2.5-7B-Instruct,similarity,,0.5446875,0.65546875
synthetic,extrapolation,Qwen2.5-7B-Instruct,zero_shot,0.49171875,,
synthetic,id,Llama-3.1-8B-Instruct,best_protocol_sata,,0.3790625,0.6234375
synthetic,id,Llama-3.1-8B-Instruct,counter_spurious,,0.49671875,0.521875
synthetic,id,Llama-3.1-8B-Instruct,feature_range,,0.49984375,0.518125
synthetic,id,Llama-3.1-8B-Instruct,label_diversity,,0.5290625,0.611875
synthetic,id,Llama-3.1-8B-Instruct,random,,0.50828125,0.506875
synthetic,id,Llama-3.1-8B-Instruct,rule_diversity,,0.4984375,0.51390625
synthetic,id,Llama-3.1-8B-Instruct,sata_alone,,0.48421875,0.6234375
synthetic,id,Llama-3.1-8B-Instruct,sata_query_agnostic,,0.499375,0.51546875
synthetic,id,Llama-3.1-8B-Instruct,similarity,,0.4646875,0.5128125
synthetic,id,Llama-3.1-8B-Instruct,zero_shot,0.49234375,,
synthetic,id,Qwen2.5-7B-Instruct,best_protocol_sata,,0.39296875,0.56515625
synthetic,id,Qwen2.5-7B-Instruct,counter_spurious,,0.6303125,0.67328125
synthetic,id,Qwen2.5-7B-Instruct,feature_range,,0.63671875,0.6753125
synthetic,id,Qwen2.5-7B-Instruct,label_diversity,,0.68015625,0.67890625
synthetic,id,Qwen2.5-7B-Instruct,random,,0.63484375,0.66875
synthetic,id,Qwen2.5-7B-Instruct,rule_diversity,,0.66421875,0.68359375
synthetic,id,Qwen2.5-7B-Instruct,sata_alone,,0.57546875,0.56515625
synthetic,id,Qwen2.5-7B-Instruct,sata_query_agnostic,,0.661875,0.6778125
synthetic,id,Qwen2.5-7B-Instruct,similarity,,0.58015625,0.6384375
synthetic,id,Qwen2.5-7B-Instruct,zero_shot,0.511875,,
synthetic,mechanism,Llama-3.1-8B-Instruct,best_protocol_sata,,0.3546875,0.565625
synthetic,mechanism,Llama-3.1-8B-Instruct,counter_spurious,,0.4475,0.45375
synthetic,mechanism,Llama-3.1-8B-Instruct,feature_range,,0.4521875,0.459375
synthetic,mechanism,Llama-3.1-8B-Instruct,label_diversity,,0.4634375,0.53171875
synthetic,mechanism,Llama-3.1-8B-Instruct,random,,0.44875,0.4575
synthetic,mechanism,Llama-3.1-8B-Instruct,rule_diversity,,0.4528125,0.46046875
synthetic,mechanism,Llama-3.1-8B-Instruct,sata_alone,,0.40546875,0.565625
synthetic,mechanism,Llama-3.1-8B-Instruct,sata_query_agnostic,,0.45046875,0.46609375
synthetic,mechanism,Llama-3.1-8B-Instruct,similarity,,0.43140625,0.455
synthetic,mechanism,Llama-3.1-8B-Instruct,zero_shot,0.44859375,,
synthetic,mechanism,Qwen2.5-7B-Instruct,best_protocol_sata,,0.36046875,0.496875
synthetic,mechanism,Qwen2.5-7B-Instruct,counter_spurious,,0.57921875,0.63203125
synthetic,mechanism,Qwen2.5-7B-Instruct,feature_range,,0.56875,0.61046875
synthetic,mechanism,Qwen2.5-7B-Instruct,label_diversity,,0.6540625,0.67859375
synthetic,mechanism,Qwen2.5-7B-Instruct,random,,0.55515625,0.6346875
synthetic,mechanism,Qwen2.5-7B-Instruct,rule_diversity,,0.5884375,0.62359375
synthetic,mechanism,Qwen2.5-7B-Instruct,sata_alone,,0.51546875,0.496875
synthetic,mechanism,Qwen2.5-7B-Instruct,sata_query_agnostic,,0.6246875,0.63890625
synthetic,mechanism,Qwen2.5-7B-Instruct,similarity,,0.5625,0.61875
synthetic,mechanism,Qwen2.5-7B-Instruct,zero_shot,0.45734375,,
synthetic,missing_feature,Llama-3.1-8B-Instruct,best_protocol_sata,,0.4228125,0.55734375
synthetic,missing_feature,Llama-3.1-8B-Instruct,counter_spurious,,0.47671875,0.51453125
synthetic,missing_feature,Llama-3.1-8B-Instruct,feature_range,,0.4603125,0.52640625
synthetic,missing_feature,Llama-3.1-8B-Instruct,label_diversity,,0.51671875,0.584375
synthetic,missing_feature,Llama-3.1-8B-Instruct,random,,0.52515625,0.50578125
synthetic,missing_feature,Llama-3.1-8B-Instruct,rule_diversity,,0.48359375,0.51875
synthetic,missing_feature,Llama-3.1-8B-Instruct,sata_alone,,0.39859375,0.55734375
synthetic,missing_feature,Llama-3.1-8B-Instruct,sata_query_agnostic,,0.43140625,0.51171875
synthetic,missing_feature,Llama-3.1-8B-Instruct,similarity,,0.43765625,0.4928125
synthetic,missing_feature,Llama-3.1-8B-Instruct,zero_shot,0.4684375,,
synthetic,missing_feature,Qwen2.5-7B-Instruct,best_protocol_sata,,0.34609375,0.41328125
synthetic,missing_feature,Qwen2.5-7B-Instruct,counter_spurious,,0.5384375,0.6471875
synthetic,missing_feature,Qwen2.5-7B-Instruct,feature_range,,0.51171875,0.611875
synthetic,missing_feature,Qwen2.5-7B-Instruct,label_diversity,,0.6328125,0.684375
synthetic,missing_feature,Qwen2.5-7B-Instruct,random,,0.5846875,0.63203125
synthetic,missing_feature,Qwen2.5-7B-Instruct,rule_diversity,,0.59171875,0.64890625
synthetic,missing_feature,Qwen2.5-7B-Instruct,sata_alone,,0.35203125,0.41328125
synthetic,missing_feature,Qwen2.5-7B-Instruct,sata_query_agnostic,,0.5059375,0.5125
synthetic,missing_feature,Qwen2.5-7B-Instruct,similarity,,0.50921875,0.5778125
synthetic,missing_feature,Qwen2.5-7B-Instruct,zero_shot,0.50453125,,
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,best_protocol_sata,,0.09890625,0.399375
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,counter_spurious,,0.49296875,0.4896875
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,feature_range,,0.49328125,0.506875
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,label_diversity,,0.5134375,0.60484375
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,random,,0.49625,0.4971875
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,rule_diversity,,0.49296875,0.49921875
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,sata_alone,,0.09890625,0.399375
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,sata_query_agnostic,,0.49390625,0.50703125
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,similarity,,0.488125,0.49421875
synthetic,spurious_reversal,Llama-3.1-8B-Instruct,zero_shot,0.49234375,,
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,best_protocol_sata,,0.06453125,0.081875
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,counter_spurious,,0.56390625,0.52703125
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,feature_range,,0.5353125,0.54875
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,label_diversity,,0.590625,0.6203125
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,random,,0.546875,0.58015625
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,rule_diversity,,0.563125,0.57421875
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,sata_alone,,0.045,0.081875
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,sata_query_agnostic,,0.5575,0.5496875
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,similarity,,0.54515625,0.54625
synthetic,spurious_reversal,Qwen2.5-7B-Instruct,zero_shot,0.480625,,
