dataset,mechanism,composition,surrogate,balanced_accuracy,accuracy,auroc,demo_pos_frac,demo_target_likeness,demo_leaf_coverage,demo_query_dist,degraded,n_seeds
acspubcov,feature_coverage,free,prior_only,0.5045,0.4048,0.5,0.1,0.3739,5.2,0.555,False,5
acspubcov,feature_coverage,target_prior,logreg,0.4958,0.404,0.5103,0.25,0.3504,4.6,0.5529,False,5
acspubcov,feature_coverage,target_prior,nn1,0.5107,0.4632,0.5429,0.25,0.3504,4.6,0.5529,False,5
acspubcov,feature_coverage,target_prior,prior_only,0.4925,0.4304,0.5,0.25,0.3504,4.6,0.5529,False,5
acspubcov,importance_weighted,balanced,logreg,0.4951,0.5416,0.4704,0.5,0.5729,4.4,0.5427,False,5
acspubcov,importance_weighted,balanced,nn1,0.5383,0.5584,0.5489,0.5,0.5729,4.4,0.5427,False,5
acspubcov,importance_weighted,balanced,prior_only,0.4888,0.4992,0.5,0.5,0.5729,4.4,0.5427,False,5
acspubcov,importance_weighted,free,logreg,0.513,0.4384,0.5199,0.275,0.6013,4.0,0.5445,False,5
acspubcov,importance_weighted,free,nn1,0.5423,0.4856,0.5783,0.275,0.6013,4.0,0.5445,False,5
acspubcov,importance_weighted,free,prior_only,0.4908,0.4408,0.5,0.275,0.6013,4.0,0.5445,False,5
acspubcov,importance_weighted,target_prior,logreg,0.4899,0.392,0.4779,0.25,0.5233,4.2,0.5409,False,5
acspubcov,importance_weighted,target_prior,nn1,0.5241,0.468,0.5254,0.25,0.5233,4.2,0.5409,False,5
acspubcov,importance_weighted,target_prior,prior_only,0.4925,0.4304,0.5,0.25,0.5233,4.2,0.5409,False,5
acspubcov,random,balanced,logreg,0.4941,0.4768,0.496,0.5,0.3721,5.2,0.5648,False,5
acspubcov,random,balanced,nn1,0.4802,0.4768,0.4793,0.5,0.3721,5.2,0.5648,False,5
acspubcov,random,balanced,prior_only,0.4888,0.4992,0.5,0.5,0.3721,5.2,0.5648,False,5
acspubcov,random,free,logreg,0.5033,0.3792,0.5245,0.2,0.3456,4.6,0.5634,False,5
acspubcov,random,free,nn1,0.4853,0.3792,0.5006,0.2,0.3456,4.6,0.5634,False,5
acspubcov,random,free,prior_only,0.4887,0.408,0.5,0.2,0.3456,4.6,0.5634,False,5
acspubcov,random,target_prior,logreg,0.4898,0.3984,0.4757,0.25,0.3299,5.2,0.561,False,5
acspubcov,random,target_prior,nn1,0.504,0.4552,0.5,0.25,0.3299,5.2,0.561,False,5
acspubcov,random,target_prior,prior_only,0.4925,0.4304,0.5,0.25,0.3299,5.2,0.561,False,5
acspubcov,rule_coverage,balanced,logreg,0.4966,0.4792,0.4975,0.5,0.3566,6.2,0.5691,False,5
acspubcov,rule_coverage,balanced,nn1,0.4979,0.5032,0.5262,0.5,0.3566,6.2,0.5691,False,5
acspubcov,rule_coverage,balanced,prior_only,0.4888,0.4992,0.5,0.5,0.3566,6.2,0.5691,False,5
acspubcov,rule_coverage,free,logreg,0.5018,0.3864,0.5162,0.175,0.3905,8.0,0.5669,False,5
acspubcov,rule_coverage,free,nn1,0.5265,0.4464,0.5561,0.175,0.3905,8.0,0.5669,False,5
acspubcov,rule_coverage,free,prior_only,0.4959,0.4064,0.5,0.175,0.3905,8.0,0.5669,False,5
acspubcov,rule_coverage,target_prior,logreg,0.5054,0.392,0.5306,0.25,0.3602,6.4,0.5679,False,5
acspubcov,rule_coverage,target_prior,nn1,0.5167,0.456,0.5432,0.25,0.3602,6.4,0.5679,False,5
acspubcov,rule_coverage,target_prior,prior_only,0.4925,0.4304,0.5,0.25,0.3602,6.4,0.5679,False,5
acspubcov,shift_axis_coverage,balanced,logreg,0.4892,0.4576,0.4842,0.5,0.3688,4.4,0.5561,False,5
acspubcov,shift_axis_coverage,balanced,nn1,0.496,0.4584,0.493,0.5,0.3688,4.4,0.5561,False,5
acspubcov,shift_axis_coverage,balanced,prior_only,0.4888,0.4992,0.5,0.5,0.3688,4.4,0.5561,False,5
acspubcov,shift_axis_coverage,free,logreg,0.4923,0.372,0.4916,0.225,0.3319,5.8,0.5597,False,5
acspubcov,shift_axis_coverage,free,nn1,0.5035,0.4056,0.5006,0.225,0.3319,5.8,0.5597,False,5
acspubcov,shift_axis_coverage,free,prior_only,0.4932,0.4144,0.5,0.225,0.3319,5.8,0.5597,False,5
acspubcov,shift_axis_coverage,target_prior,logreg,0.5033,0.3848,0.5205,0.25,0.3663,5.0,0.555,False,5
acspubcov,shift_axis_coverage,target_prior,nn1,0.5048,0.4168,0.5201,0.25,0.3663,5.0,0.555,False,5
acspubcov,shift_axis_coverage,target_prior,prior_only,0.4925,0.4304,0.5,0.25,0.3663,5.0,0.555,False,5
acspubcov,similarity,balanced,logreg,0.5433,0.4976,0.5609,0.5,0.4578,3.75,0.2953,False,5
acspubcov,similarity,balanced,nn1,0.5436,0.472,0.5978,0.5,0.4578,3.75,0.2953,False,5
acspubcov,similarity,balanced,prior_only,0.5021,0.4952,0.5,0.5,0.4578,3.75,0.2953,False,5
acspubcov,similarity,free,logreg,0.5233,0.4224,0.5936,0.2425,0.4326,3.624,0.2821,False,5
acspubcov,similarity,free,nn1,0.5436,0.4728,0.591,0.2425,0.4326,3.624,0.2821,False,5
acspubcov,similarity,free,prior_only,0.5357,0.46,0.5831,0.2425,0.4326,3.624,0.2821,False,5
acspubcov,similarity,target_prior,logreg,0.5228,0.4024,0.5584,0.25,0.4307,3.698,0.2858,False,5
acspubcov,similarity,target_prior,nn1,0.5436,0.472,0.5928,0.25,0.4307,3.698,0.2858,False,5
acspubcov,similarity,target_prior,prior_only,0.5169,0.4416,0.5,0.25,0.4307,3.698,0.2858,False,5
anes,counter_spurious,balanced,logreg,0.4862,0.4304,0.5124,0.5,0.4992,3.8,0.5368,False,5
anes,counter_spurious,balanced,nn1,0.5305,0.4512,0.5782,0.5,0.4992,3.8,0.5368,False,5
anes,counter_spurious,balanced,prior_only,0.4884,0.4968,0.5,0.5,0.4992,3.8,0.5368,False,5
anes,counter_spurious,target_prior,logreg,0.5043,0.4712,0.5118,0.625,0.499,3.8,0.5574,False,5
anes,counter_spurious,target_prior,nn1,0.5353,0.4672,0.5785,0.625,0.499,3.8,0.5574,False,5
anes,counter_spurious,target_prior,prior_only,0.4897,0.528,0.5,0.625,0.499,3.8,0.5574,False,5
anes,feature_coverage,balanced,logreg,0.5335,0.5664,0.5464,0.5,0.4919,4.0,0.4993,False,5
anes,feature_coverage,balanced,nn1,0.6267,0.6368,0.6785,0.5,0.4919,4.0,0.4993,False,5
anes,feature_coverage,balanced,prior_only,0.4884,0.4968,0.5,0.5,0.4919,4.0,0.4993,False,5
anes,feature_coverage,free,logreg,0.5088,0.6256,0.5501,0.875,0.4881,3.0,0.4687,False,5
anes,feature_coverage,free,nn1,0.5391,0.6232,0.5936,0.875,0.4881,3.0,0.4687,False,5
anes,feature_coverage,free,prior_only,0.4869,0.5864,0.5,0.875,0.4881,3.0,0.4687,False,5
anes,feature_coverage,target_prior,logreg,0.5339,0.6072,0.5284,0.625,0.4908,3.6,0.4833,False,5
anes,feature_coverage,target_prior,nn1,0.6095,0.6504,0.6542,0.625,0.4908,3.6,0.4833,False,5
anes,feature_coverage,target_prior,prior_only,0.4897,0.528,0.5,0.625,0.4908,3.6,0.4833,False,5
anes,importance_weighted,balanced,logreg,0.5538,0.564,0.5663,0.5,0.4994,4.2,0.5,True,5
anes,importance_weighted,balanced,nn1,0.6336,0.6232,0.7031,0.5,0.4994,4.2,0.5,True,5
anes,importance_weighted,balanced,prior_only,0.4884,0.4968,0.5,0.5,0.4994,4.2,0.5,True,5
anes,importance_weighted,free,logreg,0.514,0.6232,0.5186,0.7,0.4843,3.8,0.4711,True,5
anes,importance_weighted,free,nn1,0.6248,0.6752,0.6787,0.7,0.4843,3.8,0.4711,True,5
anes,importance_weighted,free,prior_only,0.4954,0.5496,0.5,0.7,0.4843,3.8,0.4711,True,5
anes,importance_weighted,target_prior,logreg,0.5463,0.6216,0.5434,0.625,0.4998,4.0,0.5101,True,5
anes,importance_weighted,target_prior,nn1,0.6144,0.6304,0.6729,0.625,0.4998,4.0,0.5101,True,5
anes,importance_weighted,target_prior,prior_only,0.4897,0.528,0.5,0.625,0.4998,4.0,0.5101,True,5
anes,random,balanced,logreg,0.5538,0.564,0.5663,0.5,0.4994,4.2,0.5,False,5
anes,random,balanced,nn1,0.6336,0.6232,0.7031,0.5,0.4994,4.2,0.5,False,5
anes,random,balanced,prior_only,0.4884,0.4968,0.5,0.5,0.4994,4.2,0.5,False,5
anes,random,free,logreg,0.514,0.6232,0.5186,0.7,0.4843,3.8,0.4711,False,5
anes,random,free,nn1,0.6248,0.6752,0.6787,0.7,0.4843,3.8,0.4711,False,5
anes,random,free,prior_only,0.4954,0.5496,0.5,0.7,0.4843,3.8,0.4711,False,5
anes,random,target_prior,logreg,0.5463,0.6216,0.5434,0.625,0.4998,4.0,0.5101,False,5
anes,random,target_prior,nn1,0.6144,0.6304,0.6729,0.625,0.4998,4.0,0.5101,False,5
anes,random,target_prior,prior_only,0.4897,0.528,0.5,0.625,0.4998,4.0,0.5101,False,5
anes,rule_coverage,balanced,logreg,0.5305,0.5336,0.5481,0.5,0.4962,5.0,0.51,False,5
anes,rule_coverage,balanced,nn1,0.5322,0.5112,0.5875,0.5,0.4962,5.0,0.51,False,5
anes,rule_coverage,balanced,prior_only,0.4884,0.4968,0.5,0.5,0.4962,5.0,0.51,False,5
anes,rule_coverage,free,logreg,0.5798,0.6224,0.6263,0.525,0.4992,5.2,0.5324,False,5
anes,rule_coverage,free,nn1,0.612,0.6248,0.6747,0.525,0.4992,5.2,0.5324,False,5
anes,rule_coverage,free,prior_only,0.4932,0.5064,0.5,0.525,0.4992,5.2,0.5324,False,5
anes,rule_coverage,target_prior,logreg,0.5008,0.5464,0.4897,0.625,0.5018,4.8,0.4987,False,5
anes,rule_coverage,target_prior,nn1,0.5149,0.5168,0.5578,0.625,0.5018,4.8,0.4987,False,5
anes,rule_coverage,target_prior,prior_only,0.4897,0.528,0.5,0.625,0.5018,4.8,0.4987,False,5
anes,shift_axis_coverage,balanced,logreg,0.5538,0.564,0.5663,0.5,0.4994,4.2,0.5,True,5
anes,shift_axis_coverage,balanced,nn1,0.6336,0.6232,0.7031,0.5,0.4994,4.2,0.5,True,5
anes,shift_axis_coverage,balanced,prior_only,0.4884,0.4968,0.5,0.5,0.4994,4.2,0.5,True,5
anes,shift_axis_coverage,free,logreg,0.514,0.6232,0.5186,0.7,0.4843,3.8,0.4711,True,5
anes,shift_axis_coverage,free,nn1,0.6248,0.6752,0.6787,0.7,0.4843,3.8,0.4711,True,5
anes,shift_axis_coverage,free,prior_only,0.4954,0.5496,0.5,0.7,0.4843,3.8,0.4711,True,5
anes,shift_axis_coverage,target_prior,logreg,0.5463,0.6216,0.5434,0.625,0.4998,4.0,0.5101,True,5
anes,shift_axis_coverage,target_prior,nn1,0.6144,0.6304,0.6729,0.625,0.4998,4.0,0.5101,True,5
anes,shift_axis_coverage,target_prior,prior_only,0.4897,0.528,0.5,0.625,0.4998,4.0,0.5101,True,5
anes,similarity,balanced,logreg,0.6261,0.6768,0.7004,0.5,0.4892,2.374,0.2005,False,5
anes,similarity,balanced,nn1,0.6338,0.6808,0.7003,0.5,0.4892,2.374,0.2005,False,5
anes,similarity,balanced,prior_only,0.4751,0.4704,0.5,0.5,0.4892,2.374,0.2005,False,5
anes,similarity,free,logreg,0.6629,0.728,0.7598,0.7045,0.4893,2.024,0.1715,False,5
anes,similarity,free,nn1,0.6371,0.6872,0.764,0.7045,0.4893,2.024,0.1715,False,5
anes,similarity,free,prior_only,0.6393,0.6784,0.7726,0.7045,0.4893,2.024,0.1715,False,5
anes,similarity,target_prior,logreg,0.5992,0.68,0.6964,0.625,0.4894,2.338,0.1974,False,5
anes,similarity,target_prior,nn1,0.6338,0.6808,0.7106,0.625,0.4894,2.338,0.1974,False,5
anes,similarity,target_prior,prior_only,0.4752,0.5024,0.5,0.625,0.4894,2.338,0.1974,False,5
brfss_diabetes,counter_spurious,balanced,logreg,0.4259,0.36,0.403,0.5,0.4256,4.8,0.4601,False,5
brfss_diabetes,counter_spurious,balanced,nn1,0.4313,0.3432,0.4272,0.5,0.4256,4.8,0.4601,False,5
brfss_diabetes,counter_spurious,balanced,prior_only,0.4952,0.48,0.5,0.5,0.4256,4.8,0.4601,False,5
brfss_diabetes,counter_spurious,target_prior,logreg,0.4147,0.6216,0.3576,0.25,0.4053,4.8,0.4578,False,5
brfss_diabetes,counter_spurious,target_prior,nn1,0.4338,0.516,0.3835,0.25,0.4053,4.8,0.4578,False,5
brfss_diabetes,counter_spurious,target_prior,prior_only,0.5034,0.6528,0.5,0.25,0.4053,4.8,0.4578,False,5
brfss_diabetes,feature_coverage,balanced,logreg,0.6827,0.6712,0.738,0.5,0.4375,4.4,0.459,False,5
brfss_diabetes,feature_coverage,balanced,nn1,0.6467,0.6192,0.7481,0.5,0.4375,4.4,0.459,False,5
brfss_diabetes,feature_coverage,balanced,prior_only,0.4952,0.48,0.5,0.5,0.4375,4.4,0.459,False,5
brfss_diabetes,feature_coverage,free,logreg,0.518,0.8144,0.5268,0.075,0.4383,3.8,0.4302,False,5
brfss_diabetes,feature_coverage,free,nn1,0.5109,0.7944,0.5939,0.075,0.4383,3.8,0.4302,False,5
brfss_diabetes,feature_coverage,free,prior_only,0.5033,0.7752,0.5,0.075,0.4383,3.8,0.4302,False,5
brfss_diabetes,feature_coverage,target_prior,logreg,0.5888,0.8024,0.7492,0.25,0.4772,4.2,0.4448,False,5
brfss_diabetes,feature_coverage,target_prior,nn1,0.6723,0.752,0.758,0.25,0.4772,4.2,0.4448,False,5
brfss_diabetes,feature_coverage,target_prior,prior_only,0.5034,0.6528,0.5,0.25,0.4772,4.2,0.4448,False,5
brfss_diabetes,importance_weighted,balanced,logreg,0.5773,0.5184,0.6379,0.5,0.5526,4.0,0.4437,False,5
brfss_diabetes,importance_weighted,balanced,nn1,0.6081,0.5504,0.6647,0.5,0.5526,4.0,0.4437,False,5
brfss_diabetes,importance_weighted,balanced,prior_only,0.4952,0.48,0.5,0.5,0.5526,4.0,0.4437,False,5
brfss_diabetes,importance_weighted,free,logreg,0.5062,0.8136,0.5462,0.15,0.5209,4.6,0.4359,False,5
brfss_diabetes,importance_weighted,free,nn1,0.5602,0.7768,0.6217,0.15,0.5209,4.6,0.4359,False,5
brfss_diabetes,importance_weighted,free,prior_only,0.5102,0.728,0.5,0.15,0.5209,4.6,0.4359,False,5
brfss_diabetes,importance_weighted,target_prior,logreg,0.534,0.7464,0.5902,0.25,0.5537,3.8,0.4406,False,5
brfss_diabetes,importance_weighted,target_prior,nn1,0.5619,0.6496,0.5494,0.25,0.5537,3.8,0.4406,False,5
brfss_diabetes,importance_weighted,target_prior,prior_only,0.5034,0.6528,0.5,0.25,0.5537,3.8,0.4406,False,5
brfss_diabetes,random,balanced,logreg,0.5977,0.5768,0.6252,0.5,0.4843,4.6,0.4366,False,5
brfss_diabetes,random,balanced,nn1,0.6239,0.6032,0.6787,0.5,0.4843,4.6,0.4366,False,5
brfss_diabetes,random,balanced,prior_only,0.4952,0.48,0.5,0.5,0.4843,4.6,0.4366,False,5
brfss_diabetes,random,free,logreg,0.5045,0.8072,0.6261,0.1,0.4849,2.8,0.4281,False,5
brfss_diabetes,random,free,nn1,0.557,0.7688,0.6244,0.1,0.4849,2.8,0.4281,False,5
brfss_diabetes,random,free,prior_only,0.5044,0.7568,0.5,0.1,0.4849,2.8,0.4281,False,5
brfss_diabetes,random,target_prior,logreg,0.5616,0.7592,0.6562,0.25,0.477,4.2,0.432,False,5
brfss_diabetes,random,target_prior,nn1,0.6011,0.7464,0.6915,0.25,0.477,4.2,0.432,False,5
brfss_diabetes,random,target_prior,prior_only,0.5034,0.6528,0.5,0.25,0.477,4.2,0.432,False,5
brfss_diabetes,rule_coverage,balanced,logreg,0.4801,0.4504,0.502,0.5,0.4611,5.8,0.468,False,5
brfss_diabetes,rule_coverage,balanced,nn1,0.5322,0.5456,0.5223,0.5,0.4611,5.8,0.468,False,5
brfss_diabetes,rule_coverage,balanced,prior_only,0.4952,0.48,0.5,0.5,0.4611,5.8,0.468,False,5
brfss_diabetes,rule_coverage,free,logreg,0.5564,0.752,0.5918,0.25,0.4248,7.8,0.4568,False,5
brfss_diabetes,rule_coverage,free,nn1,0.6003,0.7376,0.6316,0.25,0.4248,7.8,0.4568,False,5
brfss_diabetes,rule_coverage,free,prior_only,0.4973,0.6568,0.5,0.25,0.4248,7.8,0.4568,False,5
brfss_diabetes,rule_coverage,target_prior,logreg,0.5053,0.78,0.5686,0.25,0.4345,6.4,0.4703,False,5
brfss_diabetes,rule_coverage,target_prior,nn1,0.5093,0.732,0.5307,0.25,0.4345,6.4,0.4703,False,5
brfss_diabetes,rule_coverage,target_prior,prior_only,0.5034,0.6528,0.5,0.25,0.4345,6.4,0.4703,False,5
brfss_diabetes,shift_axis_coverage,balanced,logreg,0.5984,0.5544,0.6208,0.5,0.4614,4.6,0.446,False,5
brfss_diabetes,shift_axis_coverage,balanced,nn1,0.6494,0.5912,0.7502,0.5,0.4614,4.6,0.446,False,5
brfss_diabetes,shift_axis_coverage,balanced,prior_only,0.4952,0.48,0.5,0.5,0.4614,4.6,0.446,False,5
brfss_diabetes,shift_axis_coverage,free,logreg,0.5195,0.8192,0.5923,0.075,0.4575,4.6,0.445,False,5
brfss_diabetes,shift_axis_coverage,free,nn1,0.5242,0.8176,0.5823,0.075,0.4575,4.6,0.445,False,5
brfss_diabetes,shift_axis_coverage,free,prior_only,0.5139,0.7752,0.5,0.075,0.4575,4.6,0.445,False,5
brfss_diabetes,shift_axis_coverage,target_prior,logreg,0.5313,0.6984,0.6123,0.25,0.4734,4.4,0.4396,False,5
brfss_diabetes,shift_axis_coverage,target_prior,nn1,0.5925,0.6792,0.6746,0.25,0.4734,4.4,0.4396,False,5
brfss_diabetes,shift_axis_coverage,target_prior,prior_only,0.5034,0.6528,0.5,0.25,0.4734,4.4,0.4396,False,5
brfss_diabetes,similarity,balanced,logreg,0.567,0.7864,0.6627,0.5,0.4803,2.894,0.2187,False,5
brfss_diabetes,similarity,balanced,nn1,0.5633,0.7952,0.7076,0.5,0.4803,2.894,0.2187,False,5
brfss_diabetes,similarity,balanced,prior_only,0.4811,0.5048,0.5,0.5,0.4803,2.894,0.2187,False,5
brfss_diabetes,similarity,free,logreg,0.5451,0.8168,0.7116,0.1172,0.4771,2.164,0.1784,False,5
brfss_diabetes,similarity,free,nn1,0.5633,0.7952,0.7202,0.1172,0.4771,2.164,0.1784,False,5
brfss_diabetes,similarity,free,prior_only,0.5614,0.7896,0.7223,0.1172,0.4771,2.164,0.1784,False,5
brfss_diabetes,similarity,target_prior,logreg,0.5184,0.8112,0.6557,0.25,0.4779,2.51,0.1923,False,5
brfss_diabetes,similarity,target_prior,nn1,0.5633,0.7952,0.7189,0.25,0.4779,2.51,0.1923,False,5
brfss_diabetes,similarity,target_prior,prior_only,0.4916,0.6704,0.5,0.25,0.4779,2.51,0.1923,False,5
